[target_gene]	miRNA
SPRY2 (human)	miR-27
SPTLC1 (human)	miR-137
SPTLC1 (human)	miR-124
SPTLC1 (human)	miR-181c
SPTLC1 (human)	miR-15a
SPTLC2 (human)	miR-9
SPTLC2 (human)	miR-29a
SPTLC2 (human)	miR-29b-1
SYNCRIP (human)	miR-494
Sema6a (mouse)	miR-27
Sema6a (mouse)	miR-23
Sema6d (mouse)	miR-27
Sema6d (mouse)	miR-23
Sirt1 (mouse)	miR-34a
Sirt1 (mouse)	miR-132
Sirt1 (mouse)	miR-195
Sirt1 (mouse)	miR-34c
Smad1 (mouse)	miR-26a
Smad4 (mouse)	miR-26a
Socs3 (mouse)	miR-483-5p
Sox6 (mouse)	miR-499
Sox6 (mouse)	miR-208a
Sp1 (rat)	miR-93
Sp1 (rat)	miR-34a
Sp3 (mouse)	miR-208a
Sp3 (mouse)	miR-499
Spry1 (rat)	miR-21
Spry2 (mouse)	miR-27
Spry2 (mouse)	miR-23
Sptlc1 (mouse)	miR-15a
Sptlc1 (mouse)	miR-137
Sptlc1 (mouse)	miR-124
Sptlc1 (mouse)	miR-181c
Sptlc1 (rat)	miR-181c
Sptlc1 (rat)	miR-137
Sptlc2 (mouse)	miR-29b-1
Sptlc2 (mouse)	miR-29a
Sptlc2 (mouse)	miR-9
Sptlc2 (rat)	miR-29b-1
Sptlc2 (rat)	miR-29a
Sptlc2 (rat)	miR-9
TGFB1 (human)	miR-122
TGFB1 (human)	miR-181a-5p
TGFB2 (human)	miR-132
TGFB2 (human)	miR-200c
TNF (human)	miR-181a-5p
TOM1 (human)	miR-126
TRAF6 (human)	miR-146a
TWIST1 (human)	miR-375
Tead4 (mouse)	miR-125a-5p
Thbs1 (mouse)	miR-135a
Timp3 (mouse)	miR-21
Tlr7 (mouse)	miR-599
Tlr7 (mouse)	let-7b
Traf6 (mouse)	miR-146a
Trim63 (mouse)	miR-23a
ULK1 (human)	miR-20a
ULK1 (human)	miR-106b
UPF1 (human)	miR-128
VCAM1 (human)	miR-126
Zeb2 (mouse)	miR-192
