[target_gene]	miRNA
ATF6 (human)	miR-199a-5p
BACE1 (human)	miR-339-5p
BCL2L11 (human)	miR-24
BTRC (human)	miR-10a
Bcl2 (mouse)	miR-34a
CASC3 (human)	miR-128
CCL3 (human)	miR-223
CX3CL1 (human)	miR-29b
CXCL2 (human)	miR-223
CYR61 (human)	miR-22
Camk2a (mouse)	miR-152
Camk2a (mouse)	miR-148a
Camk2a (mouse)	miR-148b
Cx3cl1 (mouse)	miR-29b
Cx3cl1 (mouse)	miR-29a
Dek (mouse)	miR-489
Dusp5 (mouse)	miR-181a
Dusp6 (mouse)	miR-181a
ETS1 (human)	miR-200b
EZR (human)	miR-184
Ezh2 (mouse)	miR-26a
Ezh2 (mouse)	miR-214
Fasl (mouse)	miR-21
Foxo1 (rat)	miR-486 
Foxp2 (mouse)	miR-132
Foxp2 (mouse)	miR-9
HAS2 (human)	miR-23a-3p
HNRNPA3 (human)	miR-494
IGF1 (human)	miR-29b
IGF1 (human)	miR-29a
IL6 (human)	miR-223
Igf1 (mouse)	miR-29a
Igf1 (mouse)	miR-29b
Igf1 (rat)	miR-206
Igf1 (rat)	miR-1
Ins2 (mouse)	miR-196b
KLF2 (human)	miR-92a
KLF4 (human)	miR-92a
MAP3K7 (human)	miR-10a
MCAM (human)	miR-329
NFE2L2 (human)	miR-144
NFKB1 (human)	miR-199a-5p
Nampt (mouse)	miR-34a
Ogn (mouse)	miR-22
PDIA3 (human)	miR-494
PIK3R1 (human)	miR-221
PIK3R2 (human)	miR-126
PTEN (human)	miR-216a
Ppm1d (mouse)	miR-29a
Ppm1d (mouse)	miR-29b
Ppm1d (mouse)	miR-29c
Ppm1d (mouse)	miR-29a
Ppp1r10 (mouse)	miR-34a
Prox1 (mouse)	miR-181a
Pten (rat)	miR-486 
Ptpn22 (mouse)	miR-181a
RAD23B (human)	miR-494
RELA (human)	miR-199a-5p
SEMA6A (human)	miR-27
SEMA6A (human)	miR-23
SEMA6D (human)	miR-23
SEMA6D (human)	miR-27
SIRT1 (human)	miR-195
SIRT1 (human)	miR-217
SPRED1 (human)	miR-126
SPRY2 (human)	miR-23
SPRY2 (human)	miR-27
SYNCRIP (human)	miR-494
Sirt1 (mouse)	miR-34c
Smad1 (mouse)	miR-26a
Smad4 (mouse)	miR-26a
Sox6 (mouse)	miR-499
Spry1 (rat)	miR-21
Tead4 (mouse)	miR-125a-5p
ULK1 (human)	miR-20a
ULK1 (human)	miR-106b
UPF1 (human)	miR-128
VCAM1 (human)	miR-126
Zeb2 (mouse)	miR-192
